questionId,title,difficulty,dislikes,likes,nAccepted,nSubmissions,accRate,topicTags,similarQuestions
1,Two Sum,Easy,760,22371,4.5M,9.6M,47.2%,"['Array', 'Hash Table']","[('3Sum', 'Medium'), ('4Sum', 'Medium'), ('Count Good Meals', 'Medium'), ('Max Number of K-Sum Pairs', 'Medium'), ('Subarray Sum Equals K', 'Medium'), ('Two Sum II - Input array is sorted', 'Easy'), ('Two Sum III - Data structure design', 'Easy'), ('Two Sum IV - Input is a BST', 'Easy'), ('Two Sum Less Than K', 'Easy')]"
2,Add Two Numbers,Medium,2902,12664,2M,5.6M,36.3%,"['Linked List', 'Math', 'Recursion']","[('Add Binary', 'Easy'), ('Add Strings', 'Easy'), ('Add Two Numbers II', 'Medium'), ('Add Two Polynomials Represented as Linked Lists', 'Medium'), ('Add to Array-Form of Integer', 'Easy'), ('Multiply Strings', 'Medium'), ('Sum of Two Integers', 'Medium')]"
3,Longest Substring Without Repeating Characters,Medium,778,15660,2.3M,7.3M,31.9%,"['Hash Table', 'Sliding Window', 'String']","[('Longest Substring with At Most K Distinct Characters', 'Medium'), ('Longest Substring with At Most Two Distinct Characters', 'Medium'), ('Maximum Erasure Value', 'Medium'), ('Subarrays with K Different Integers', 'Hard')]"
4,Median of Two Sorted Arrays,Hard,1599,11094,998.8K,3.1M,32.1%,"['Array', 'Binary Search', 'Divide and Conquer']",[]
5,Longest Palindromic Substring,Medium,733,11847,1.4M,4.4M,31.0%,"['Dynamic Programming', 'String']","[('Longest Palindromic Subsequence', 'Medium'), ('Palindrome Pairs', 'Hard'), ('Palindrome Permutation', 'Easy'), ('Palindromic Substrings', 'Medium'), ('Shortest Palindrome', 'Hard')]"
6,ZigZag Conversion,Medium,6185,2563,597.6K,1.5M,39.0%,['String'],[]
7,Reverse Integer,Easy,7705,5104,1.6M,6.2M,26.1%,['Math'],"[('Reverse Bits', 'Easy'), ('String to Integer (atoi)', 'Medium')]"
8,String to Integer (atoi),Medium,1174,423,770.1K,4.8M,15.9%,['String'],"[('Reverse Integer', 'Easy'), ('Valid Number', 'Hard')]"
9,Palindrome Number,Easy,1785,3565,1.4M,2.7M,50.7%,['Math'],"[('Palindrome Linked List', 'Easy')]"
10,Regular Expression Matching,Hard,876,6127,559.9K,2M,27.7%,"['Dynamic Programming', 'Recursion', 'String']","[('Wildcard Matching', 'Hard')]"
11,Container With Most Water,Medium,744,10430,1M,1.9M,53.0%,"['Array', 'Greedy', 'Two Pointers']","[('Trapping Rain Water', 'Hard')]"
12,Integer to Roman,Medium,3311,1945,515.2K,893.1K,57.7%,"['Hash Table', 'Math', 'String']","[('Integer to English Words', 'Hard'), ('Roman to Integer', 'Easy')]"
13,Roman to Integer,Easy,89,1080,1M,1.8M,57.4%,"['Hash Table', 'Math', 'String']","[('Integer to Roman', 'Medium')]"
14,Longest Common Prefix,Easy,2334,4665,1.1M,3M,37.0%,['String'],[]
15,3Sum,Medium,1148,11608,1.4M,4.8M,28.9%,"['Array', 'Sorting', 'Two Pointers']","[('3Sum Closest', 'Medium'), ('3Sum Smaller', 'Medium'), ('4Sum', 'Medium'), ('Two Sum', 'Easy')]"
16,3Sum Closest,Medium,183,3639,610.6K,1.3M,46.5%,"['Array', 'Sorting', 'Two Pointers']","[('3Sum', 'Medium'), ('3Sum Smaller', 'Medium')]"
17,Letter Combinations of a Phone Number,Medium,547,6616,884.8K,1.7M,50.7%,"['Backtracking', 'Hash Table', 'String']","[('Binary Watch', 'Easy'), ('Combination Sum', 'Medium'), ('Generate Parentheses', 'Medium')]"
18,4Sum,Medium,446,3718,435.6K,1.2M,35.8%,"['Array', 'Sorting', 'Two Pointers']","[('3Sum', 'Medium'), ('4Sum II', 'Medium'), ('Two Sum', 'Easy')]"
19,Remove Nth Node From End of List,Medium,329,5976,929.2K,2.5M,36.5%,"['Linked List', 'Two Pointers']","[('Delete N Nodes After M Nodes of a Linked List', 'Easy'), ('Swapping Nodes in a Linked List', 'Medium')]"
20,Valid Parentheses,Easy,332,8090,1.5M,3.8M,40.2%,"['Stack', 'String']","[('Check If Word Is Valid After Substitutions', 'Medium'), ('Generate Parentheses', 'Medium'), ('Longest Valid Parentheses', 'Hard'), ('Remove Invalid Parentheses', 'Hard')]"
21,Merge Two Sorted Lists,Easy,811,7425,1.5M,2.6M,57.1%,"['Linked List', 'Recursion']","[('Add Two Polynomials Represented as Linked Lists', 'Medium'), ('Merge Sorted Array', 'Easy'), ('Merge k Sorted Lists', 'Hard'), ('Shortest Word Distance II', 'Medium'), ('Sort List', 'Medium')]"
22,Generate Parentheses,Medium,359,8719,792.3K,1.2M,67.0%,"['Backtracking', 'Dynamic Programming', 'String']","[('Letter Combinations of a Phone Number', 'Medium'), ('Valid Parentheses', 'Easy')]"
23,Merge k Sorted Lists,Hard,367,7816,926.5K,2.1M,43.9%,"['Divide and Conquer', 'Heap (Priority Queue)', 'Linked List', 'Merge Sort']","[('Merge Two Sorted Lists', 'Easy'), ('Ugly Number II', 'Medium')]"
24,Swap Nodes in Pairs,Medium,223,4027,638.9K,1.2M,54.5%,"['Linked List', 'Recursion']","[('Reverse Nodes in k-Group', 'Hard'), ('Swapping Nodes in a Linked List', 'Medium')]"
25,Reverse Nodes in k-Group,Hard,414,4158,370.3K,795.8K,46.5%,"['Linked List', 'Recursion']","[('Swap Nodes in Pairs', 'Medium'), ('Swapping Nodes in a Linked List', 'Medium')]"
26,Remove Duplicates from Sorted Array,Easy,7458,4280,1.5M,3.2M,47.3%,"['Array', 'Two Pointers']","[('Remove Duplicates from Sorted Array II', 'Medium'), ('Remove Element', 'Easy')]"
27,Remove Element,Easy,3754,2327,908.9K,1.8M,49.9%,"['Array', 'Two Pointers']","[('Move Zeroes', 'Easy'), ('Remove Duplicates from Sorted Array', 'Easy'), ('Remove Linked List Elements', 'Easy')]"
28,Implement strStr(),Easy,2522,2602,927.5K,2.6M,35.7%,"['String', 'String Matching', 'Two Pointers']","[('Repeated Substring Pattern', 'Easy'), ('Shortest Palindrome', 'Hard')]"
29,Divide Two Integers,Medium,7307,1956,383.9K,2.3M,17.0%,"['Bit Manipulation', 'Math']",[]
30,Substring with Concatenation of All Words,Hard,1540,1363,213.5K,796.8K,26.8%,"['Hash Table', 'Sliding Window', 'String']","[('Minimum Window Substring', 'Hard')]"
31,Next Permutation,Medium,2068,6223,546K,1.6M,34.3%,"['Array', 'Two Pointers']","[('Minimum Adjacent Swaps to Reach the Kth Smallest Number', 'Medium'), ('Palindrome Permutation II', 'Medium'), ('Permutation Sequence', 'Hard'), ('Permutations', 'Medium'), ('Permutations II', 'Medium')]"
32,Longest Valid Parentheses,Hard,194,5585,391.6K,1.3M,30.2%,"['Dynamic Programming', 'Stack', 'String']","[('Valid Parentheses', 'Easy')]"
33,Search in Rotated Sorted Array,Medium,705,8568,1M,2.9M,36.5%,"['Array', 'Binary Search']","[('Find Minimum in Rotated Sorted Array', 'Medium'), ('Search in Rotated Sorted Array II', 'Medium')]"
34,Find First and Last Position of Element in Sorted Array,Medium,215,6256,759.3K,2M,38.2%,"['Array', 'Binary Search']","[('First Bad Version', 'Easy')]"
35,Search Insert Position,Easy,307,3893,867.6K,2M,42.8%,"['Array', 'Binary Search']","[('First Bad Version', 'Easy')]"
36,Valid Sudoku,Medium,581,2831,503K,975.3K,51.6%,"['Array', 'Hash Table', 'Matrix']","[('Sudoku Solver', 'Hard')]"
37,Sudoku Solver,Hard,114,3131,252.6K,519.7K,48.6%,"['Array', 'Backtracking', 'Matrix']","[('Unique Paths III', 'Hard'), ('Valid Sudoku', 'Medium')]"
38,Count and Say,Medium,1883,614,523.4K,1.1M,46.9%,['String'],"[('Encode and Decode Strings', 'Medium'), ('String Compression', 'Medium')]"
39,Combination Sum,Medium,166,6599,772.1K,1.3M,60.9%,"['Array', 'Backtracking']","[('Combination Sum II', 'Medium'), ('Combination Sum III', 'Medium'), ('Combination Sum IV', 'Medium'), ('Combinations', 'Medium'), ('Factor Combinations', 'Medium'), ('Letter Combinations of a Phone Number', 'Medium')]"
40,Combination Sum II,Medium,94,3124,427.9K,837.9K,51.1%,"['Array', 'Backtracking']","[('Combination Sum', 'Medium')]"
41,First Missing Positive,Hard,1057,6277,511.2K,1.5M,34.6%,"['Array', 'Hash Table']","[('Couples Holding Hands', 'Hard'), ('Find All Numbers Disappeared in an Array', 'Easy'), ('Find the Duplicate Number', 'Medium'), ('Missing Number', 'Easy')]"
42,Trapping Rain Water,Hard,177,12412,791.8K,1.5M,52.4%,"['Array', 'Dynamic Programming', 'Monotonic Stack', 'Stack', 'Two Pointers']","[('Container With Most Water', 'Medium'), ('Pour Water', 'Medium'), ('Product of Array Except Self', 'Medium'), ('Trapping Rain Water II', 'Hard')]"
43,Multiply Strings,Medium,1093,2739,386.4K,1.1M,35.6%,"['Math', 'Simulation', 'String']","[('Add Binary', 'Easy'), ('Add Strings', 'Easy'), ('Add Two Numbers', 'Medium'), ('Plus One', 'Easy')]"
44,Wildcard Matching,Hard,155,3288,316.2K,1.2M,25.8%,"['Dynamic Programming', 'Greedy', 'Recursion', 'String']","[('Regular Expression Matching', 'Hard')]"
45,Jump Game II,Medium,201,4918,388.7K,1.2M,33.4%,"['Array', 'Dynamic Programming', 'Greedy']","[('Jump Game', 'Medium'), ('Jump Game III', 'Medium'), ('Jump Game VII', 'Medium')]"
46,Permutations,Medium,139,6683,857.8K,1.3M,68.3%,"['Array', 'Backtracking']","[('Combinations', 'Medium'), ('Next Permutation', 'Medium'), ('Permutation Sequence', 'Hard'), ('Permutations II', 'Medium')]"
47,Permutations II,Medium,81,3290,476K,938K,50.7%,"['Array', 'Backtracking']","[('Next Permutation', 'Medium'), ('Number of Squareful Arrays', 'Hard'), ('Palindrome Permutation II', 'Medium'), ('Permutations', 'Medium')]"
48,Rotate Image,Medium,363,5596,625.1K,1M,62.3%,"['Array', 'Math', 'Matrix']","[('Determine Whether Matrix Can Be Obtained By Rotation', 'Easy')]"
